Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,Tot_P,Christian_Percent,SA2_CODE_2021
10,3826,5,0,0,0,5963,64.1623344,105031103
11,2709,0,3,6,0,4398,61.59618008,105031104
6,4014,17,19,0,0,6458,62.15546609,105031105
27,4587,39,19,25,4,8769,52.3092713,105031106
76,6977,45,25,40,5,12770,54.63586531,106011107
169,10995,75,89,28,4,23495,46.79719089,106011108
42,4445,24,33,14,4,9145,48.60579552,106011109
21,5321,20,13,5,8,9541,55.76983545,106011110
88,9872,96,60,40,7,20631,47.85032233,106011111
123,9360,48,75,51,0,17018,55.00058761,106011112
19,3069,18,0,5,0,5332,57.55813953,106011113
59,4121,71,80,60,0,8611,47.85739171,106021114
28,5030,16,16,27,11,8727,57.63721783,106021116
148,9583,100,178,178,8,17981,53.29514488,106021614
84,9870,107,154,78,12,17730,55.66835871,106021615
31,3991,72,28,15,0,7976,50.03761284,106021616
38,5513,44,19,31,5,10091,54.63284115,106021617
95,8647,148,169,147,3,15899,54.38706837,106021618
36,3326,10,17,4,3,6449,51.57388742,106031119
33,3485,16,6,9,3,6887,50.60258458,106031120
203,12099,71,122,54,13,21972,55.06553796,106031121
111,7210,84,41,79,0,14588,49.42418426,106031122
12,3392,11,6,5,4,5693,59.58194274,106031123
38,3489,18,29,11,6,5804,60.11371468,106031124
101,7787,41,28,29,13,15020,51.84420772,106031125
96,6439,64,62,58,13,12272,52.4690352,106041126
25,2608,9,9,0,5,4083,63.87460201,106041127
35,3691,17,30,16,6,6035,61.15990058,106041128
31,5123,21,35,32,3,8194,62.52135709,106041129
147,12832,99,61,183,0,24195,53.03575119,107011131
104,6856,27,97,100,0,12155,56.4047717,107011132
0,3,0,0,0,0,5,60,107011133
96,8680,61,131,312,4,15280,56.80628272,107011134
126,7306,53,40,1499,4,14200,51.45070423,107011545
123,5490,51,29,321,5,9740,56.36550308,107011546
30,2324,18,0,25,0,4239,54.824251,107011547
0,9,0,0,0,0,9,100,107021135
101,10273,56,68,116,12,19026,53.9945338,107031136
38,3591,28,23,35,0,6920,51.89306358,107031137
68,4507,30,31,26,12,8786,51.29751878,107031138
36,3077,5,9,9,4,6063,50.75045357,107031139
44,4210,16,16,12,12,8136,51.7453294,107031140
112,11369,48,63,297,9,19341,58.78186236,107031141
103,5602,48,53,157,7,10590,52.89896128,107031142
151,10551,85,52,287,0,20397,51.72819532,107031143
288,11004,95,266,689,7,21519,51.13620521,107041144
215,7970,97,103,241,13,16041,49.68518172,107041145
335,11554,129,401,755,22,22773,50.73552013,107041146
69,4355,18,39,17,9,9135,47.67378216,107041147
