"Top 5 countries of birth (excluding Australia)(a), 2021 Census",
Country,Census population count
England,"927,490"
India,"673,352"
China (excludes SARs and Taiwan),"549,618"
New Zealand,"530,492"
Philippines,"293,892"
,
a. Based on place of usual residence. Excludes overseas visitors.,
Source: Country of birth of person (BPLP),
,
"Source: Australian Bureau of Statistics, Cultural diversity: Census 2021",
